Wall time,Step,Value
1578701845.6472847,23929,0.84375
1578701846.6928513,24029,0.84375
1578701847.0623941,24069,0.84375
1578701849.1162252,24259,0.75
1578701850.165978,24369,0.75
1578701850.9336355,24449,0.84375
1578701851.5469487,24509,0.78125
1578701851.6595335,24519,0.90625
1578701851.9227262,24539,0.84375
1578701852.1956162,24559,0.75
1578701852.6666915,24609,0.65625
1578701855.1711583,24859,0.8125
1578701855.2746897,24869,0.875
1578701856.2524068,24969,0.78125
1578701856.4283948,24989,0.8125
1578701856.9477937,25039,0.71875
1578701858.5005348,25179,0.75
1578701859.2401433,25239,0.75
1578701861.410842,25309,0.6875
1578701861.6355267,25329,0.71875
1578701863.3707108,25479,0.78125
1578701863.8146832,25519,0.875
1578701864.0105765,25539,0.75
1578701865.530855,25669,0.71875
1578701866.7829738,25789,0.75
1578701867.852433,25909,0.875
1578701867.9477437,25919,0.90625
1578701868.039943,25929,0.84375
1578701868.9381719,26009,0.71875
1578701869.6373813,26069,0.8125
1578701871.6013346,26239,0.71875
1578701872.2958076,26299,0.8125
1578701872.3819642,26309,0.78125
1578701873.2823675,26389,0.71875
1578701874.0046215,26449,0.75
1578701874.6300902,26509,0.75
1578701875.1547308,26559,0.84375
1578701877.6958404,26789,0.875
1578701877.86617,26809,0.875
1578701878.3129032,26859,0.65625
1578701880.3349385,26909,0.71875
1578701881.7925346,27039,0.875
1578701882.4672623,27109,0.90625
1578701883.942428,27259,0.8125
1578701885.1778069,27379,0.65625
1578701885.4764235,27409,0.84375
1578701886.7887483,27549,0.84375
1578701886.8990126,27559,0.71875
1578701887.0669327,27579,0.75
1578701890.5050368,27899,0.75
1578701890.6341789,27909,0.90625
1578701890.7591639,27919,0.8125
1578701891.605329,27989,0.875
1578701892.714665,28099,0.8125
1578701894.2930646,28249,0.8125
1578701894.6707954,28279,0.84375
1578701894.9191184,28299,0.71875
1578701899.806556,28599,0.78125
1578701901.3713472,28729,0.78125
1578701902.4241076,28819,0.875
1578701903.432582,28909,0.78125
1578701904.0511186,28969,0.84375
1578701904.402187,29009,0.78125
1578701906.0941567,29179,0.75
1578701906.2801101,29199,0.8125
1578701906.382796,29209,0.78125
1578701906.4736257,29219,0.6875
1578701907.6275225,29329,0.84375
1578701909.4675236,29509,0.78125
1578701910.9503257,29679,0.8125
1578701911.8852477,29759,0.71875
1578701914.171125,29989,0.6875
1578701916.6036124,30079,0.8125
1578701916.8541067,30099,0.8125
1578701917.0858507,30119,0.65625
1578701917.48946,30159,0.8125
1578701917.5770361,30169,0.78125
1578701918.903328,30279,0.8125
1578701919.2609417,30309,0.8125
1578701920.3046293,30389,0.8125
1578701920.680739,30419,0.8125
1578701921.745268,30509,0.8125
1578701923.3977897,30659,0.75
1578701923.8277767,30699,0.84375
1578701924.0834024,30719,0.8125
1578701925.6757665,30869,0.84375
1578701927.2706254,30999,0.8125
1578701929.9557977,31229,0.78125
1578701931.3913233,31379,0.75
1578701931.4807892,31389,0.75
1578701932.1873415,31459,0.75
1578701932.802648,31509,0.625
1578701933.3890948,31559,0.75
1578701933.761012,31599,0.84375
1578701933.907743,31619,0.6666666865348816
1578701940.0932765,31779,0.875
1578701941.3263183,31889,0.78125
1578701942.044214,31959,0.875
1578701942.130333,31969,0.875
1578701942.895407,32039,0.78125
1578701943.1921608,32069,0.75
1578701945.7537107,32309,0.78125
1578701946.0596423,32339,0.78125
1578701946.7039177,32409,0.78125
1578701947.0356417,32439,0.78125
1578701947.121669,32449,0.75
1578701947.2977111,32469,0.84375
1578701947.3854795,32479,0.8125
1578701949.479183,32679,0.90625
1578701950.0074277,32729,0.875
1578701950.8457203,32819,0.71875
1578701951.0228493,32839,0.84375
1578701953.3025362,33059,0.8125
1578701954.123336,33139,0.78125
1578701957.0752673,33279,0.90625
1578701957.1681385,33289,0.78125
1578701957.697824,33339,0.78125
1578701958.2538173,33389,0.9375
1578701959.0200393,33459,0.84375
1578701961.937419,33749,0.8125
1578701962.185777,33769,0.8125
1578701962.3885996,33789,0.78125
1578701963.222082,33869,0.90625
1578701964.9955046,34039,0.8125
1578701965.4323003,34089,0.84375
1578701967.5140975,34309,0.78125
1578701967.8428373,34339,0.78125
1578701968.3083313,34389,0.9375
1578701968.9239526,34459,0.78125
1578701969.2840729,34499,0.84375
1578701969.5345037,34519,0.875
1578701970.234279,34579,0.8125
1578701970.3561883,34589,0.84375
1578701971.0967696,34649,0.90625
1578701971.9185503,34719,0.875
1578701972.4467063,34779,0.6875
1578701974.3537998,34809,0.65625
1578701976.1934457,34979,0.84375
1578701976.4016418,34999,0.8125
1578701977.519483,35099,0.8125
1578701977.8094985,35129,0.84375
1578701978.5577192,35199,0.78125
1578701980.1567683,35359,0.75
1578701980.3639374,35379,0.8125
1578701980.9791813,35439,0.84375
1578701981.3834357,35479,0.8125
1578701981.6146867,35499,0.78125
1578701983.0131717,35639,0.84375
1578701984.808505,35809,0.78125
1578701986.0864046,35929,0.78125
1578701986.8807223,36009,0.875
1578701988.853775,36189,0.875
1578701989.0920877,36209,0.65625
1578701989.303743,36229,0.8125
1578701989.5591152,36259,0.75
1578701989.8128707,36289,0.875
1578701993.1600876,36459,0.9375
1578701994.3656876,36569,0.78125
1578701994.4543664,36579,0.78125
1578701995.715868,36709,0.78125
1578701998.7404127,37009,0.84375
1578701998.924768,37029,0.84375
1578702001.5047355,37269,0.90625
1578702001.9006763,37309,0.71875
1578702002.084726,37329,0.90625
1578702002.6982663,37389,0.8125
1578702002.9980462,37419,0.78125
1578702003.1807752,37439,0.9375
1578702004.0850618,37529,0.78125
1578702004.8883827,37599,0.8125
1578702006.0467598,37729,0.84375
1578702006.774677,37809,0.71875
1578702007.9477193,37939,0.90625
1578702009.7842233,37959,0.875
1578702010.0543232,37989,0.71875
1578702011.2099025,38109,0.71875
1578702011.6473725,38149,0.90625
1578702012.2375195,38199,0.78125
1578702012.4812253,38219,0.875
1578702013.6211617,38319,0.65625
1578702014.160485,38359,0.875
1578702015.4040432,38489,0.90625
1578702016.970812,38649,0.9375
1578702017.5671222,38699,0.65625
1578702018.170105,38769,0.78125
1578702020.3700628,39019,0.96875
1578702020.4802113,39029,0.84375
1578702021.29092,39109,0.96875
1578702022.4461184,39209,0.71875
1578702023.2083614,39289,0.65625
1578702023.8837574,39359,0.84375
1578702024.250303,39399,0.8125
1578702025.2500496,39509,0.8125
1578702030.082886,39569,0.9375
1578702030.654914,39629,0.8125
1578702032.6678796,39849,0.78125
1578702033.77622,39959,0.78125
1578702034.395905,40009,0.78125
1578702035.431964,40099,0.875
1578702035.5590384,40109,0.78125
1578702036.8167014,40219,0.75
1578702036.9037762,40229,0.84375
1578702038.2949126,40339,0.875
1578702038.5815318,40369,0.71875
1578702039.425462,40469,0.96875
1578702039.5161963,40479,0.8125
1578702039.6018875,40489,0.8125
1578702044.3529658,40939,0.8125
1578702044.9565709,40989,0.875
1578702045.0737202,40999,0.8125
1578702046.0775003,41099,0.8125
1578702056.1233995,41829,0.8125
1578702057.2780128,41939,0.84375
1578702057.3745492,41949,0.6875
1578702057.6281648,41969,0.84375
1578702057.8731425,41989,0.78125
1578702058.2196615,42019,0.71875
1578702058.325675,42029,0.8125
1578702058.5796132,42049,0.59375
1578702061.2049067,42279,0.78125
1578702061.7284567,42329,0.71875
1578702062.0141504,42359,0.71875
1578702062.78444,42439,0.84375
1578702063.996081,42549,0.875
1578702065.0319352,42639,0.84375
1578702065.28324,42669,0.84375
1578702065.358008,42679,0.8125
1578702068.7627203,42829,0.9375
1578702070.6211479,42989,0.71875
1578702071.3222888,43049,0.8125
1578702071.7974792,43089,0.8125
1578702072.749641,43179,0.84375
1578702073.015587,43199,0.71875
1578702074.0440617,43289,0.84375
1578702074.4699326,43329,0.84375
1578702075.020976,43389,0.8125
1578702075.4901328,43439,0.9375
1578702077.8429759,43659,0.8125
1578702078.2077484,43699,0.875
1578702079.06848,43789,0.8125
1578702080.8588142,43939,0.84375
1578702081.5924745,44009,0.625
1578702082.2591314,44069,0.75
1578702082.6646886,44109,0.90625
1578702082.7622318,44119,0.90625
1578702086.444605,44309,0.78125
1578702086.5723407,44319,0.90625
1578702086.8108058,44339,0.8125
1578702087.5259643,44399,0.90625
1578702087.9275136,44429,0.75
1578702090.8490422,44699,0.875
1578702091.4787962,44759,0.96875
1578702091.9936485,44799,0.71875
1578702092.3048131,44829,0.8125
1578702093.3070526,44909,0.6875
1578702093.5651827,44929,0.8125
1578702095.4820428,45099,0.875
1578702095.5734339,45109,0.8125
1578702097.8851838,45299,0.75
1578702098.009393,45309,0.78125
1578702098.3355207,45339,0.84375
1578702099.1064146,45429,0.78125
1578702099.8645747,45509,0.9375
1578702100.0349889,45529,0.84375
1578702100.126134,45539,0.71875
1578702101.6423304,45689,0.8125
1578702102.6070654,45789,0.78125
1578702102.90646,45819,0.78125
1578702105.755793,45929,0.84375
1578702106.1391037,45959,0.90625
1578702106.3633163,45979,0.75
1578702106.585793,45999,0.8125
1578702107.9403048,46119,0.8125
1578702109.5671313,46289,0.90625
1578702111.0145004,46439,0.84375
1578702111.5720818,46499,0.90625
1578702112.2350297,46569,0.78125
1578702113.0015645,46649,0.84375
1578702113.4045773,46689,0.84375
1578702114.1357932,46759,0.78125
1578702114.260302,46769,0.8125
1578702114.3902507,46779,0.9375
1578702115.5906558,46879,0.625
1578702118.5137305,47139,0.8125
1578702119.0738256,47189,0.875
